index,Hint,theta_u,Sparsity,Size,Topography,Classification
296,4.9681,0.61458,0,0.2476,0.83357,S
297,4.9174,0.5350600000000001,0,0.3572,0.37736,S
298,2.3675,0.48018,0,0.316,0.27165,S
299,4.1238,0.55994,0,0.2948,0.9441700000000001,S
300,4.2919,0.44393,0,0.524,0.8094,S
302,2.887,0.44837,0,0.4296,0.9263299999999999,S
304,4.2178,0.45911,0,0.4808,0.91779,S
305,2.3014,0.44183999999999996,0,0.376,0.7531899999999999,S
306,3.8035,0.46825,0,0.444,0.69314,S
307,2.0272,0.39437,0,0.4348,0.74427,S
308,3.7153,0.58982,0,0.2412,0.85688,S
309,2.4085,0.30598000000000003,0,1.0,0.0,NS
310,3.0046,0.32272,0,1.0,0.0,NS
311,2.2149,0.31134,0,1.0,0.0,NS
312,4.6160000000000005,0.34819,0,1.0,0.0,NS
313,3.9418,0.42983000000000005,0,0.5539999999999999,0.86839,S
314,2.3512,0.5314,0,0.23101999999999998,0.8013399999999999,S
316,2.9666,0.5322399999999999,0,0.2816,0.9798600000000001,S
317,4.4706,0.48728999999999995,0,0.43200000000000005,0.6421100000000001,S
318,3.0758,0.53991,0,0.282,0.77285,S
